
Gurobi 9.5.0 (win64) logging started Tue Apr  5 17:50:01 2022

Set parameter LogFile to value "..\NewModel\Data_10_5_1\logFile.txt"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads
Optimize a model with 15732 rows, 4225 columns and 410396 nonzeros
Model fingerprint: 0x6dcad8e1
Variable types: 158 continuous, 4067 integer (4067 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+05]
  Objective range  [9e-01, 1e+05]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 3e+05]
Found heuristic solution: objective 983933.55536
Presolve added 0 rows and 27 columns
Presolve removed 1975 rows and 0 columns
Presolve time: 0.83s
Presolved: 13757 rows, 4252 columns, 238503 nonzeros
Variable types: 140 continuous, 4112 integer (4112 binary)

Root relaxation: objective 1.230968e+05, 642 iterations, 0.10 seconds (0.19 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 89415  4370 infeasible   62      132177.014 123096.779  6.87%  79.4  609s
 90439  4457 infeasible   70      132177.014 123096.779  6.87%  79.5  616s
 91516  4538 infeasible   65      132177.014 123096.779  6.87%  79.5  621s
 92326  4578 infeasible   64      132177.014 123096.779  6.87%  79.5  626s
 93314  4637 infeasible   68      132177.014 123096.779  6.87%  79.5  631s
 94140  4694 124185.319  145   34 132177.014 123096.779  6.87%  79.6  636s
 94977  4748 infeasible   75      132177.014 123096.779  6.87%  79.7  640s
 95510  4785 126159.362   79   50 132177.014 123096.779  6.87%  79.9  646s
 96480  4888 infeasible   72      132177.014 123096.779  6.87%  79.9  651s
 97394  4942 124171.668   79   66 132177.014 123096.779  6.87%  79.9  656s
 98387  5019 infeasible   66      132177.014 123096.779  6.87%  79.9  662s
 99063  5095 123096.779   90   51 132177.014 123096.779  6.87%  79.9  667s
 100051  5156 infeasible   69      132177.014 123096.779  6.87%  80.0  673s
 100994  5200 123096.779   67   27 132177.014 123096.779  6.87%  79.9  678s
 101898  5217 infeasible   76      132177.014 123096.779  6.87%  80.0  683s
 102757  5259 infeasible  151      132177.014 123096.779  6.87%  80.0  688s
 103683  5287 124189.451   95   41 132177.014 123096.779  6.87%  80.0  696s
 104830  5334 123096.779   69   22 132177.014 123096.779  6.87%  80.0  700s
 105513  5383 123096.779   88   32 132177.014 123096.779  6.87%  80.0  706s
 106370  5401 infeasible   72      132177.014 123096.779  6.87%  80.0  711s
 107151  5434 infeasible   86      132177.014 123096.779  6.87%  80.1  716s
 108032  5434 123096.779   68   17 132177.014 123096.779  6.87%  80.1  722s
 108945  5412 infeasible   74      132177.014 123096.779  6.87%  80.1  727s
 109641  5419 126159.362   77   28 132177.014 123096.779  6.87%  80.1  732s
 110524  5464 infeasible   67      132177.014 123096.779  6.87%  80.1  738s
 111459  5550 123096.779   78   33 132177.014 123096.779  6.87%  80.1  744s
 112367  5653 infeasible   60      132177.014 123096.779  6.87%  80.3  749s
 113164  5803 123096.779   72   63 132177.014 123096.779  6.87%  80.3  754s
 114071  5931 123096.779   78   40 132177.014 123096.779  6.87%  80.5  760s
 114809  5996 infeasible   76      132177.014 123096.779  6.87%  80.5  766s
 115909  6094 infeasible   74      132177.014 123096.779  6.87%  80.5  772s
 116769  6142 infeasible   84      132177.014 123096.779  6.87%  80.6  779s
 117595  6206 123096.779   72   33 132177.014 123096.779  6.87%  80.8  785s
 118594  6228 infeasible   62      132177.014 123096.779  6.87%  80.9  791s
 119253  6328 infeasible   76      132177.014 123096.779  6.87%  81.1  798s
 120302  6365 infeasible   86      132177.014 123096.779  6.87%  81.3  804s
 121267  6382 infeasible   69      132177.014 123096.779  6.87%  81.5  810s
 122129  6452 infeasible   68      132177.014 123096.779  6.87%  81.8  818s
 122830  6533 124510.695   91   45 132177.014 123096.779  6.87%  82.0  824s
 123900  6580 infeasible   75      132177.014 123096.779  6.87%  82.1  831s
 124846  6639 infeasible   80      132177.014 123096.779  6.87%  82.3  837s
 125809  6657 129845.312   81   53 132177.014 123096.779  6.87%  82.4  843s
 126712  6680 infeasible   83      132177.014 123096.779  6.87%  82.4  849s
 127469  6719 infeasible   75      132177.014 123096.779  6.87%  82.6  856s
 128402  6772 123096.779   88   51 132177.014 123096.779  6.87%  82.8  862s
 129481  6789 infeasible  123      132177.014 123096.779  6.87%  82.8  870s
 130356  6855 infeasible   71      132177.014 123096.779  6.87%  83.0  876s
 131191  6940 infeasible   77      132177.014 123096.779  6.87%  83.1  881s
 131941  6979 123123.779   76   21 132177.014 123096.779  6.87%  83.3  888s
 132944  7131 infeasible   75      132177.014 123096.779  6.87%  83.5  894s
 134035  7128 123096.779   69   23 132177.014 123096.779  6.87%  83.5  900s
 134926  7129 123096.779   74   66 132177.014 123096.779  6.87%  83.5  906s
 135821  7182 131915.942   84   59 132177.014 123096.779  6.87%  83.6  912s
 136583  7225 infeasible   74      132177.014 123096.779  6.87%  83.8  918s
 137468  7247 123123.779   80   22 132177.014 123096.779  6.87%  84.0  925s
 138232  7346 infeasible   73      132177.014 123096.779  6.87%  84.1  930s
 139148  7322 infeasible   79      132177.014 123096.779  6.87%  84.2  936s
 140076  7341 131915.942   87   57 132177.014 123096.779  6.87%  84.1  941s
 140928  7435 infeasible   77      132177.014 123096.779  6.87%  84.2  945s
 141647  7480 infeasible   97      132177.014 123096.779  6.87%  84.3  950s
 142328  7425 infeasible  144      132177.014 123096.779  6.87%  84.3  957s
 142929  7360 123123.779   88   34 132177.014 123096.779  6.87%  84.4  962s
 143540  7351 infeasible   94      132177.014 123096.779  6.87%  84.7  968s
 144127  7219 124528.320   83   57 132177.014 123096.779  6.87%  84.8  974s
 145086  7001 131109.420   80   14 132177.014 123277.173  6.73%  84.8  979s
 146094  6855 infeasible  115      132177.014 123583.434  6.50%  84.7  983s
 146976  6559 infeasible   93      132177.014 124171.668  6.06%  84.6  989s
 147986  6497 infeasible   75      132177.014 124173.281  6.06%  84.5  994s
 148832  6282 infeasible   87      132177.014 124181.628  6.05%  84.4  999s
 149599  6122 131853.014   78   58 132177.014 124198.668  6.04%  84.4 1003s
 150340  5907 infeasible   70      132177.014 124252.559  6.00%  84.3 1008s
 151403  5519 infeasible   98      132177.014 124252.559  6.00%  84.1 1013s
 152359  5211 infeasible   74      132177.014 124367.822  5.91%  84.0 1018s
 153705  5135 infeasible   82      132177.014 124367.822  5.91%  83.8 1022s
 154299  4939 infeasible   83      132177.014 124501.319  5.81%  83.8 1027s
 155166  4725 126186.362   77   43 132177.014 124501.320  5.81%  83.8 1031s
 155980  4512 infeasible   85      132177.014 124794.467  5.59%  83.8 1035s
 157593  4254 infeasible   95      132177.014 125575.577  4.99%  83.6 1042s
 158440  4170 126159.362   83   51 132177.014 125575.577  4.99%  83.4 1045s
 159012  4031 129864.806   80   52 132177.014 126159.362  4.55%  83.3 1050s
 159957  3911 infeasible   75      132177.014 126159.362  4.55%  83.2 1055s
 160909  3825 infeasible   96      132177.014 126159.362  4.55%  83.2 1060s
 161782  3716 infeasible   78      132177.014 126159.362  4.55%  83.1 1065s
 162537  3688 127693.187   67   30 132177.014 126159.362  4.55%  83.2 1070s
 163159  4652 infeasible   88      132177.014 126159.362  4.55%  83.3 1075s
 169144  4181 infeasible  141      132177.014 126159.362  4.55%  80.7 1081s
