
Gurobi 9.5.0 (win64) logging started Thu Apr  7 01:13:44 2022

Set parameter LogFile to value "..\NewModel\Data_12_5_5\Penalt_10Mins\logFile.txt"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads
Optimize a model with 23548 rows, 6057 columns and 778466 nonzeros
Model fingerprint: 0x81305f01
Variable types: 186 continuous, 5871 integer (5871 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+05]
  Objective range  [1e+00, 6e+02]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+05]
Found heuristic solution: objective 6600.0000000
Presolve added 0 rows and 26 columns
Presolve removed 1043 rows and 0 columns
Presolve time: 1.02s
Presolved: 22505 rows, 6083 columns, 582492 nonzeros
Extracted 6831 lazy constraints
Variable types: 168 continuous, 5915 integer (5915 binary)

Root relaxation: objective 7.842369e+02, 838 iterations, 0.09 seconds (0.18 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 147832 11380 1200.00000   37   33 4425.34500 1200.00000  72.9%  42.4  748s
 149136 11438 1200.00000   34   20 4425.34500 1200.00000  72.9%  42.4  757s
 151251 11558 1200.00000   37   32 4425.34500 1200.00000  72.9%  42.2  764s
 152754 11626 1200.00000   31   13 4425.34500 1200.00000  72.9%  42.1  768s
 153355 11732 infeasible   42      4425.34500 1200.00000  72.9%  42.1  773s
 154372 12219 1200.00000   29   22 4425.34500 1200.00000  72.9%  42.1  781s
 157802 12250 1200.00000   32   11 4425.34500 1200.00000  72.9%  41.6  786s
 158304 12270 infeasible   28      4425.34500 1200.00000  72.9%  41.6  790s
 158826 12260 infeasible   46      4425.34500 1200.00000  72.9%  41.6  795s
 159674 12624 1624.51871   38   38 4425.34500 1200.00000  72.9%  41.7  803s
 162869 12602 infeasible   28      4425.34500 1200.00000  72.9%  41.2  807s
 163411 12640 infeasible   41      4425.34500 1200.00000  72.9%  41.2  812s
 164209 13143 1200.00000   48   12 4425.34500 1200.00000  72.9%  41.2  819s
 167486 13101 infeasible   35      4425.34500 1200.00000  72.9%  40.8  824s
 168219 13212 infeasible   55      4425.34500 1200.00000  72.9%  40.8  830s
 169628 13777 infeasible   26      4425.34500 1200.00000  72.9%  40.8  838s
 172847 13740 infeasible   39      4425.34500 1200.00000  72.9%  40.4  843s
 173593 13731 1200.00000   45   25 4425.34500 1200.00000  72.9%  40.3  847s
 174370 14633 1200.00000   31   20 4425.34500 1200.00000  72.9%  40.4  858s
 179124 14623 1988.41626   43   43 4425.34500 1200.00000  72.9%  39.8  863s
 179570 14628 infeasible   28      4425.34500 1200.00000  72.9%  39.8  867s
 180039 14675 1200.00000   42   19 4425.34500 1200.00000  72.9%  39.8  871s
 180900 15086 1200.00000   46   40 4425.34500 1200.00000  72.9%  39.9  876s
 183367 15081 infeasible   46      4425.34500 1200.00000  72.9%  39.6  880s
 184032 15461 1200.00000   48   16 4425.34500 1200.00000  72.9%  39.6  885s
 187207 15720 1200.00000   29   46 4425.34500 1200.00000  72.9%  39.4  895s
 189701 15664 infeasible   50      4425.34500 1200.00000  72.9%  39.2  903s
 190305 16226 1200.00000   48   34 4425.34500 1200.00000  72.9%  39.3  914s
 194549 16205 1200.00000   41   23 4425.34500 1200.00000  72.9%  38.9  918s
 195209 16157 infeasible   47      4425.34500 1200.00000  72.9%  38.9  921s
 196043 16565 1200.00000   47   30 4425.34500 1200.00000  72.9%  38.9  930s
 200806 16470 2835.67482   52   38 4425.34500 1200.00000  72.9%  38.5  938s
 201573 16379 infeasible   55      4425.34500 1200.00000  72.9%  38.5  943s
 202580 17015 1200.00000   41   13 4425.34500 1200.00000  72.9%  38.5  955s
 208547 16971 infeasible   40      4425.34500 1200.00000  72.9%  38.0  965s
 209638 17401     cutoff   65      4425.34500 1200.00000  72.9%  38.1  971s
 212523 17319 infeasible   44      4425.34500 1200.00000  72.9%  37.9  977s
 213166 17694 1200.00000   40   16 4425.34500 1200.00000  72.9%  37.9  987s
 217019 17660 1200.00000   36   24 4425.34500 1200.00000  72.9%  37.5  991s
 217613 17641 1255.38917   46   16 4425.34500 1200.00000  72.9%  37.6  997s
 218344 17642 infeasible   31      4425.34500 1200.00000  72.9%  37.6 1004s
 219948 17936 1200.00000   47   14 4425.34500 1200.00000  72.9%  37.7 1010s
 223610 18218 1562.14945   28   27 4425.34500 1200.00000  72.9%  37.4 1020s
 226515 18240 1200.00000   37   18 4425.34500 1200.00000  72.9%  37.2 1026s
 226826 18242 infeasible   34      4425.34500 1200.00000  72.9%  37.2 1030s
 227203 18805 1436.03332   37   21 4425.34500 1200.00000  72.9%  37.3 1036s
 230632 18817 1200.00000   31   17 4425.34500 1200.00000  72.9%  37.1 1040s
 231444 19358 1200.00000   40   27 4425.34500 1200.00000  72.9%  37.1 1059s
 237346 19323 infeasible   36      4425.34500 1200.00000  72.9%  36.7 1064s
 237720 19285 infeasible   40      4425.34500 1200.00000  72.9%  36.7 1073s
 238901 19590 1816.19743   37   15 4425.34500 1200.00000  72.9%  36.8 1084s
 242675 19792 1200.00000   31   26 4425.34500 1200.00000  72.9%  36.7 1090s
 244005 19974 1200.00000   30   19 4425.34500 1200.00000  72.9%  36.7 1102s
 246843 20020 infeasible   42      4425.34500 1200.00000  72.9%  36.6 1106s
 247470 20180 infeasible   39      4425.34500 1200.00000  72.9%  36.7 1110s
 248807 20452 1200.00000   37   36 4425.34500 1200.00000  72.9%  36.6 1115s
 250966 20407 1200.00000   39   33 4425.34500 1200.00000  72.9%  36.6 1123s
 251320 20349 1842.62051   31   15 4425.34500 1200.00000  72.9%  36.7 1131s
 252712 20994 1800.00000   44   16 4425.34500 1200.00000  72.9%  36.8 1150s
 258679 20812 1200.00000   39   24 4425.34500 1200.00000  72.9%  36.4 1168s
 261125 21456 1200.00000   44    8 4425.34500 1200.00000  72.9%  36.5 1180s
 265711 21411 1200.00000   46   15 4425.34500 1200.00000  72.9%  36.3 1188s
 266232 21318 infeasible   36      4425.34500 1200.00000  72.9%  36.3 1193s
 267216 21250 1200.00000   28   33 4425.34500 1200.00000  72.9%  36.4 1201s
 268156 21589 1200.00000   23   14 4425.34500 1200.00000  72.9%  36.4 1212s
 271983 21542 1200.00000   36   29 4425.34500 1200.00000  72.9%  36.2 1216s
 272663 21549 1200.00000   32   36 4425.34500 1200.00000  72.9%  36.3 1221s
 273067 21461 infeasible   39      4425.34500 1200.00000  72.9%  36.3 1229s
 274138 21811 1227.99259   28   24 4425.34500 1200.00000  72.9%  36.3 1239s
 277538 21804 infeasible   40      4425.34500 1200.00000  72.9%  36.2 1243s
 277739 21776     cutoff   36      4425.34500 1200.00000  72.9%  36.2 1247s
 278494 21792 1200.00000   28   33 4425.34500 1200.00000  72.9%  36.2 1251s
 279141 21817 1800.00000   38   29 4425.34500 1200.00000  72.9%  36.2 1255s
 279887 22181 1200.00000   55   40 4425.34500 1200.00000  72.9%  36.3 1260s
 282893 22436 1200.00000   41   17 4425.34500 1200.00000  72.9%  36.2 1269s
 284721 22441 infeasible   33      4425.34500 1200.00000  72.9%  36.1 1273s
 285408 22456 infeasible   46      4425.34500 1200.00000  72.9%  36.2 1276s
 285874 22537 1200.00000   39   15 4425.34500 1200.00000  72.9%  36.2 1281s
 287170 22555 4381.25000   46    9 4425.34500 1200.00000  72.9%  36.2 1288s
 287719 23321 1205.56097   54   54 4425.34500 1200.00000  72.9%  36.2 1302s
 293725 23282 infeasible   58      4425.34500 1200.00000  72.9%  35.9 1307s
 294183 23285 infeasible   47      4425.34500 1200.00000  72.9%  35.9 1310s
 294995 23167 2532.96022   35   13 4425.34500 1200.00000  72.9%  36.0 1320s
 296461 23637 1200.00000   37   27 4425.34500 1200.00000  72.9%  36.0 1329s
 299643 23637 infeasible   49      4425.34500 1200.00000  72.9%  35.8 1332s
 300009 23620 infeasible   54      4425.34500 1200.00000  72.9%  35.9 1336s
 300386 23724 1200.00000   41   23 4425.34500 1200.00000  72.9%  35.9 1340s
 302616 23743 1200.00000   26   21 4425.34500 1200.00000  72.9%  35.9 1347s
 302926 23796 infeasible   31      4425.34500 1200.00000  72.9%  35.9 1351s
 303601 24104 1828.21579   48   15 4425.34500 1200.00000  72.9%  35.9 1357s
 305031 24131 infeasible   39      4425.34500 1200.00000  72.9%  35.8 1361s
 305586 24123 1302.71577   46   26 4425.34500 1200.00000  72.9%  35.9 1365s
 306391 24275 infeasible   44      4425.34500 1200.00000  72.9%  35.9 1373s
 307919 24664 2560.96003   41   11 4425.34500 1200.00000  72.9%  35.9 1379s
 310425 24642 infeasible   40      4425.34500 1200.00000  72.9%  35.8 1383s
 310882 24647 1200.00000   34   21 4425.34500 1200.00000  72.9%  35.8 1387s
 311416 24622 infeasible   41      4425.34500 1200.00000  72.9%  35.9 1391s
 311887 25113 2505.88584   55   33 4425.34500 1200.00000  72.9%  35.9 1404s
 316441 25087 infeasible   41      4425.34500 1200.00000  72.9%  35.7 1408s
 316710 25074 infeasible   41      4425.34500 1200.00000  72.9%  35.7 1412s
 317255 25033 infeasible   37      4425.34500 1200.00000  72.9%  35.8 1416s
 317786 24996 1200.00000   34   15 4425.34500 1200.00000  72.9%  35.8 1422s
 318668 25356 1200.00000   36   16 4425.34500 1200.00000  72.9%  35.9 1439s
 323754 25318 infeasible   50      4425.34500 1200.00000  72.9%  35.6 1443s
 323939 25137 1200.00000   34   29 4425.34500 1200.00000  72.9%  35.6 1459s
 326174 25534 1543.05670   37   36 4425.34500 1200.00000  72.9%  35.7 1473s
 331220 25482 infeasible   59      4425.34500 1200.00000  72.9%  35.5 1477s
 331662 25615 infeasible   45      4425.34500 1200.00000  72.9%  35.5 1484s
 333026 25720 3583.62000   45   14 4425.34500 1200.00000  72.9%  35.6 1489s
 333823 25745 infeasible   36      4425.34500 1200.00000  72.9%  35.6 1493s
 334314 25753 1224.11313   40   60 4425.34500 1200.00000  72.9%  35.6 1496s
 334813 26130 1200.00000   41   28 4425.34500 1200.00000  72.9%  35.6 1503s
 336968 26075 2107.58761   40   29 4425.34500 1200.00000  72.9%  35.5 1507s
 337393 26010 1200.00000   43   30 4425.34500 1200.00000  72.9%  35.6 1511s
 338091 26020 infeasible   32      4425.34500 1200.00000  72.9%  35.6 1517s
 338540 25919 infeasible   35      4425.34500 1200.00000  72.9%  35.6 1524s
 339709 26713 1200.00000   33   37 4425.34500 1200.00000  72.9%  35.7 1538s
 345700 26694 1200.00000   46   26 4425.34500 1200.00000  72.9%  35.4 1543s
 345793 26636 1200.00000   41   44 4425.34500 1200.00000  72.9%  35.4 1546s
 346560 26632 2956.89266   40   13 4425.34500 1200.00000  72.9%  35.4 1551s
 347128 26535 1200.00000   34   18 4425.34500 1200.00000  72.9%  35.5 1557s
 347988 26839 4303.88618   53   20 4425.34500 1200.00000  72.9%  35.5 1565s
 351195 26888 infeasible   51      4425.34500 1200.00000  72.9%  35.4 1572s
 351636 26835 infeasible   45      4425.34500 1200.00000  72.9%  35.4 1576s
 352040 26759 2004.10677   39   15 4425.34500 1200.00000  72.9%  35.4 1585s
 353612 27437 1200.00000   43   12 4425.34500 1200.00000  72.9%  35.4 1599s
 358678 27409 infeasible   47      4425.34500 1200.00000  72.9%  35.2 1603s
 359052 27365 1200.00000   46   22 4425.34500 1200.00000  72.9%  35.2 1606s
 359818 27656 infeasible   47      4425.34500 1200.00000  72.9%  35.2 1616s
 363954 27648 infeasible   45      4425.34500 1200.00000  72.9%  35.0 1620s
 364598 27614 infeasible   48      4425.34500 1200.00000  72.9%  35.1 1628s
 365236 27560 infeasible   40      4425.34500 1200.00000  72.9%  35.1 1635s
 365878 27868 1200.00000   35   20 4425.34500 1200.00000  72.9%  35.1 1651s
 370673 27850 infeasible   40      4425.34500 1200.00000  72.9%  35.0 1656s
 371505 27816 infeasible   46      4425.34500 1200.00000  72.9%  35.0 1665s
 371951 27685 1200.00000   39   22 4425.34500 1200.00000  72.9%  35.0 1676s
 373511 28428 1200.00000   34   22 4425.34500 1200.00000  72.9%  35.1 1691s
 378903 28553 1200.00000   35   37 4425.34500 1200.00000  72.9%  34.9 1695s
 379712 29152 1200.00000   36   32 4425.34500 1200.00000  72.9%  34.9 1703s
 381459 29261 1200.00000   29   50 4425.34500 1200.00000  72.9%  34.9 1707s
 382059 29937 1448.04096   34   25 4425.34500 1200.00000  72.9%  34.9 1712s
 384383 29981 1200.00000   46   45 4425.34500 1200.00000  72.9%  35.0 1716s
 385216 30051     cutoff   55      4425.34500 1200.00000  72.9%  35.0 1723s
 385644 30119 1800.00000   51   29 4425.34500 1200.00000  72.9%  35.1 1726s
 386135 30300 1474.58221   39   46 4425.34500 1200.00000  72.9%  35.1 1732s
 387116 30353 1200.00000   45   44 4425.34500 1200.00000  72.9%  35.1 1735s
 387902 30439 infeasible   40      4425.34500 1200.00000  72.9%  35.2 1743s
 388619 31090 3637.79041   38   16 4425.34500 1200.00000  72.9%  35.2 1750s
 392164 31081 infeasible   45      4425.34500 1200.00000  72.9%  35.2 1758s
 392542 31153 infeasible   39      4425.34500 1200.00000  72.9%  35.2 1762s
 393054 31468 1200.00000   29   44 4425.34500 1200.00000  72.9%  35.2 1767s
 394462 31570 1800.00000   39   28 4425.34500 1200.00000  72.9%  35.3 1771s
 395803 31868 1254.55313   36   31 4425.34500 1200.00000  72.9%  35.3 1777s
